Freq.	V(out)
1.22555648773628e+00	(-1.99167109716366e+00dB,1.41082383923267e+02°)
1.22649749818262e+00	(-1.98022660017405e+00dB,1.41062873166512e+02°)
1.22743923115841e+00	(-1.96878414143979e+00dB,1.41043351391419e+02°)
1.22838168721843e+00	(-1.95734372301123e+00dB,1.41023818610154e+02°)
1.22932486691788e+00	(-1.94590534568609e+00dB,1.41004274822771e+02°)
1.23026877081239e+00	(-1.93446901162932e+00dB,1.40984720042221e+02°)
1.23121339945800e+00	(-1.92303472189607e+00dB,1.40965154270628e+02°)
1.23215875341121e+00	(-1.91160247827564e+00dB,1.40945577517630e+02°)
1.23310483322891e+00	(-1.90017228221314e+00dB,1.40925989790042e+02°)
1.23405163946845e+00	(-1.88874413535202e+00dB,1.40906391095651e+02°)
1.23499917268759e+00	(-1.87731803896579e+00dB,1.40886781438916e+02°)
1.23594743344452e+00	(-1.86589399492576e+00dB,1.40867160830465e+02°)
1.23689642229785e+00	(-1.85447200439864e+00dB,1.40847529274062e+02°)
1.23784613980664e+00	(-1.84305206918226e+00dB,1.40827886778779e+02°)
1.23879658653037e+00	(-1.83163419063332e+00dB,1.40808233351420e+02°)
1.23974776302895e+00	(-1.82021837034707e+00dB,1.40788568998869e+02°)
1.24069966986271e+00	(-1.80880460977036e+00dB,1.40768893727507e+02°)
1.24165230759242e+00	(-1.79739291062255e+00dB,1.40749207546914e+02°)
1.24260567677927e+00	(-1.78598327414865e+00dB,1.40729510461303e+02°)
1.24355977798491e+00	(-1.77457570209671e+00dB,1.40709802480146e+02°)
1.24451461177139e+00	(-1.76317019576409e+00dB,1.40690083608758e+02°)
1.24547017870120e+00	(-1.75176675680990e+00dB,1.40670353855154e+02°)
1.24642647933727e+00	(-1.74036538678366e+00dB,1.40650613227960e+02°)
1.24738351424295e+00	(-1.72896608721365e+00dB,1.40630861733299e+02°)
1.24834128398203e+00	(-1.71756885939160e+00dB,1.40611099377290e+02°)
1.24929978911874e+00	(-1.70617370497281e+00dB,1.40591326168059e+02°)
1.25025903021772e+00	(-1.69478062557767e+00dB,1.40571542113933e+02°)
1.25121900784408e+00	(-1.68338962240507e+00dB,1.40551747219644e+02°)
1.25217972256333e+00	(-1.67200069724203e+00dB,1.40531941494630e+02°)
1.25314117494142e+00	(-1.66061385162352e+00dB,1.40512124947085e+02°)
1.25410336554475e+00	(-1.64922908676747e+00dB,1.40492297581063e+02°)
1.25506629494015e+00	(-1.63784640452073e+00dB,1.40472459407032e+02°)
1.25602996369488e+00	(-1.62646580612708e+00dB,1.40452610430914e+02°)
1.25699437237663e+00	(-1.61508729324205e+00dB,1.40432750660330e+02°)
1.25795952155354e+00	(-1.60371086721919e+00dB,1.40412880101959e+02°)
1.25892541179417e+00	(-1.59233652961867e+00dB,1.40392998763329e+02°)
1.25989204366754e+00	(-1.58096428210117e+00dB,1.40373106654034e+02°)
1.26085941774308e+00	(-1.56959412581588e+00dB,1.40353203776735e+02°)
1.26182753459068e+00	(-1.55822606271688e+00dB,1.40333290145293e+02°)
1.26279639478064e+00	(-1.54686009398699e+00dB,1.40313365762228e+02°)
1.26376599888374e+00	(-1.53549622112150e+00dB,1.40293430636159e+02°)
1.26473634747116e+00	(-1.52413444581308e+00dB,1.40273484776572e+02°)
1.26570744111453e+00	(-1.51277476917169e+00dB,1.40253528186470e+02°)
1.26667928038592e+00	(-1.50141719304285e+00dB,1.40233560877114e+02°)
1.26765186585785e+00	(-1.49006171890563e+00dB,1.40213582855969e+02°)
1.26862519810327e+00	(-1.47870834814510e+00dB,1.40193594129747e+02°)
1.26959927769555e+00	(-1.46735708222510e+00dB,1.40173594705388e+02°)
1.27057410520855e+00	(-1.45600792277410e+00dB,1.40153584591515e+02°)
1.27154968121652e+00	(-1.44466087093386e+00dB,1.40133563793659e+02°)
1.27252600629417e+00	(-1.43331592849649e+00dB,1.40113532320853e+02°)
1.27350308101667e+00	(-1.42197309697552e+00dB,1.40093490181737e+02°)
1.27448090595960e+00	(-1.41063237760414e+00dB,1.40073437381392e+02°)
1.27545948169900e+00	(-1.39929377216853e+00dB,1.40053373929543e+02°)
1.27643880881135e+00	(-1.38795728192707e+00dB,1.40033299833076e+02°)
1.27741888787357e+00	(-1.37662290836843e+00dB,1.40013215099544e+02°)
1.27839971946303e+00	(-1.36529065313936e+00dB,1.39993119737539e+02°)
1.27938130415753e+00	(-1.35396051733135e+00dB,1.39973013751100e+02°)
1.28036364253533e+00	(-1.34263250286763e+00dB,1.39952897152403e+02°)
1.28134673517511e+00	(-1.33130661104455e+00dB,1.39932769947551e+02°)
1.28233058265603e+00	(-1.31998284326016e+00dB,1.39912632144010e+02°)
1.28331518555766e+00	(-1.30866120126303e+00dB,1.39892483750475e+02°)
1.28430054446003e+00	(-1.29734168598000e+00dB,1.39872324770712e+02°)
1.28528665994362e+00	(-1.28602429946620e+00dB,1.39852155218060e+02°)
1.28627353258935e+00	(-1.27470904281590e+00dB,1.39831975096642e+02°)
1.28726116297859e+00	(-1.26339591760249e+00dB,1.39811784414888e+02°)
1.28824955169314e+00	(-1.25208492545924e+00dB,1.39791583182155e+02°)
1.28923869931527e+00	(-1.24077606742157e+00dB,1.39771371402940e+02°)
1.29022860642769e+00	(-1.22946934526764e+00dB,1.39751149087069e+02°)
1.29121927361354e+00	(-1.21816476075818e+00dB,1.39730916245704e+02°)
1.29221070145643e+00	(-1.20686231467915e+00dB,1.39710672880368e+02°)
1.29320289054042e+00	(-1.19556200893550e+00dB,1.39690419002688e+02°)
1.29419584144999e+00	(-1.18426384481646e+00dB,1.39670154618935e+02°)
1.29518955477010e+00	(-1.17296782383828e+00dB,1.39649879737884e+02°)
1.29618403108614e+00	(-1.16167394743784e+00dB,1.39629594367498e+02°)
1.29717927098396e+00	(-1.15038221700297e+00dB,1.39609298513519e+02°)
1.29817527504986e+00	(-1.13909263418753e+00dB,1.39588992187700e+02°)
1.29917204387057e+00	(-1.12780520022625e+00dB,1.39568675394775e+02°)
1.30016957803330e+00	(-1.11651991670914e+00dB,1.39548348144974e+02°)
1.30116787812569e+00	(-1.10523678516518e+00dB,1.39528010445126e+02°)
1.30216694473584e+00	(-1.09395580676534e+00dB,1.39507662302213e+02°)
1.30316677845231e+00	(-1.08267698298939e+00dB,1.39487303724594e+02°)
1.30416737986408e+00	(-1.07140031559029e+00dB,1.39466934722188e+02°)
1.30516874956063e+00	(-1.06012580584900e+00dB,1.39446555301359e+02°)
1.30617088813185e+00	(-1.04885345505182e+00dB,1.39426165469690e+02°)
1.30717379616810e+00	(-1.03758326470697e+00dB,1.39405765234753e+02°)
1.30817747426020e+00	(-1.02631523633875e+00dB,1.39385354606500e+02°)
1.30918192299941e+00	(-1.01504937131023e+00dB,1.39364933590840e+02°)
1.31018714297746e+00	(-1.00378567132284e+00dB,1.39344502199794e+02°)
1.31119313478652e+00	(-9.92524137363733e-01dB,1.39324060435845e+02°)
1.31219989901921e+00	(-9.81264771161143e-01dB,1.39303608310853e+02°)
1.31320743626863e+00	(-9.70007574135436e-01dB,1.39283145832243e+02°)
1.31421574712831e+00	(-9.58752547613845e-01dB,1.39262673007353e+02°)
